society,price,sector,pricePerSqft,propertyType,area,bedRooms,bathRooms,additionalRooms,address,floorNum,facing,agePossesion,nearbyLocation,furnishDetails,features,balcony
"  greenwood city, gurgaon",16.0,sector 45,,house,,5.0,7.0,"pooja room,store room,study room,servant room","  greenwood city, gurgaon",3.0,north-east,1 to 5 Year Old,"['Huda city centre metro station', 'Axis bank ATM', 'State bank of india ATM', 'Icici ATM', 'Citi bank ATM', 'Axis bank ATM', 'Hdfc ATM', 'Icici bank ATM', 'Standard chartered ATM', 'Hdfc bank ATM', 'Hdfc ATM', 'Axis bank ATM', 'Dispencery', 'Shivam Hospital Gurgaon', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Dr. Naval Mendiratta', 'Sukhmani Hospital Pvt. Ltd', 'Gupta', 'Arihant Hospital', 'Centre For Sight Gurgaon Sector 29', 'Dr. Kutbuddin Akbary', ""DR AKRAM JAWED'S THE UPPER LIMB CLINIC"", 'Pernod Ricard Charitable Dispensary', 'City Medical', 'Gardian Pharmacy', 'Gardian Pharmacy', 'Bharat petroleum', 'IBP Petrol Pump', 'Hdfc bank', 'Hdfc bank', 'Icici bank', 'Raj Restaurant', 'Fast food', 'Fast Food', 'Om Sweets', 'Bar and restaurant', 'Cafe Coffee Day', 'PWO house', '32nd Milestone', 'St. Angels Jr', 'St. Angels Sr', 'School of Inspired Leadership SOIL', 'Manav Rachna School', 'Amity Global School', 'CR Model Public School', 'Stones2milestones', 'Delhi Public School Primary Section', 'Dawnbit', 'Mantis Eye LLP', 'Manav Rachna Swimming Pool']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Fitness Centre / GYM', 'Club house / Community Center']",,3
  chtels serenity,3.0,sector 109,14285.71,flat,2100.0,3.0,4.0,servant room,"Chintels Serenity Sector 109, Gurgaon",12.0,north-east,1 to 5 Year Old,"['Iffco Chowk Metro Station', 'Ambience Mall', 'Dwarka Expressway', 'GEMS International School', 'Manipal Hospital', 'Indira Gandhi International Airport', 'The Club, International City (Swim club)', 'Gurgaon Railway Station', 'Fun N Food Village', 'BSF Golf Course']","['1 Stove', '1 Modular Kitchen', '5 AC', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",
  m3m woodshire,1.43,sector 107,9322.03,flat,1534.0,2.0,2.0,study room,"M3M Woodshire Sector 107, Gurgaon",12.0,north,1 to 5 Year Old,"['Signum 107', 'Nora Solomon Medicenter', 'Indira Gandhi International Airport', 'The Shikshiyan School', 'Najafgarh Jheel Bird Sanctuary', 'Skylark Cricket Academy']","['2 Wardrobe', '5 Fan', '1 Exhaust Fan', '1 Geyser', '5 Light', '4 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",
"  cyber city, v block dlf phase 3, gurgaon",5.35,sector 23,,house,1467.0,4.0,5.0,pooja room,"  cyber city, v block dlf phase 3, gurgaon",2.0,east,1 to 5 Year Old,"['Dlf phase 3 metro station', 'Vodafone belvedere towers metro station', 'Indusind bank cyber city metro station', 'Micromax moulsari avenue metro station', 'Dlf phase 2 metro station', 'Ambience Mall', 'Shri Shiv Shakthi Mandir', 'Kotak mahindra ATM', 'Citibank ATM', 'Abn amro bank ATM', 'Central bank ATM', 'Central bank atm teste 001112', 'Icici bank ATM', 'Darpan Skin & Mind Clinic', 'RBS Dental Clinic', 'Asha Multispeciality Clinic', 'Relief Physiotherapy Clinic', 'Kailash Nursing Home Gurgaon', 'Cosmodentz Dental Clinic', 'Dental Harbour', 'R.N Clinic', 'Shri Ram Memorial Hospital', 'Upkar Clinic', 'Krishna Family Clinic', 'Durga Poly Clinic', ""Dr. Khullar's Dental Clinic"", 'Surgi Center Clinic', 'Garg Dental Care', 'Shri Balaji Medical Store', 'Pharmacy', 'SP Infocity', 'DLF Cyber City Phase II', 'Icici bank', 'Deutsche bank', 'Standard chartered bank', 'PVR Cinames', ""McDonald's"", 'Mc Donalds', 'Food Court', 'The God Father', 'barrique', 'Mukesh Dhaba', 'Cantine', 'Machaan', 'Bain & Company', 'Boston Consulting Group', 'KPMG', 'CEVA Logistics India', 'Microsoft', 'Taikisha Engineering PVT']","['1 Water Purifier', '7 Fan', '1 Exhaust Fan', '5 Geyser', '30 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '6 AC', '4 Wardrobe', '1 Microwave', 'No Bed', 'No Dining Table', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Water purifier', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Internet/wi-fi connectivity', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",3+
  emaar mgf the palm drive,3.8,sector 66,19487.18,flat,1950.0,3.0,3.0,servant room,"Emaar MGF The Palm Drive Sector 66, Gurgaon",5.0,east,5 to 10 Year Old,"['Sector 55-56 Rapid Metro Station', 'HUB 66', 'NH 248A', 'Hasanpur', 'Ashoka International School', 'Gurugram University', 'Park Hospital', 'Indira Gandhi International Airport', 'Sealdah', 'Vatika Business Centre', 'The Oberoi Gurgaon', 'De Adventure Park', 'DLF Golf and Country Club', 'Tau DeviLal Sports Complex']","['1 Water Purifier', '1 Fridge', '4 Fan', '1 Exhaust Fan', '4 Geyser', '1 Stove', '11 Light', '1 Curtains', '1 Modular Kitchen', '1 Chimney', '5 AC', '3 Wardrobe', '1 Microwave', 'No Bed', 'No Dining Table', 'No Sofa', 'No TV', 'No Washing Machine']","['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",
"  sector 17b, gurgaon",10.55,sector 17,,house,502.0,4.0,4.0,"pooja room,study room,servant room","  sector 17b, gurgaon",4.0,north,10+ Year Old,"['Iffco chowk metro station', 'Mg road metro station', 'Gurgaon Central Mall', 'MGF Metropolitan', 'Arya Samaj Mandir', 'Jain Bhawan', 'Citi bank ATM', 'Punjab national bank ATM', 'Icici bank ATM', 'Punjab national bank ATM', 'Thukral Hospital', 'Privat Hospital', 'Sangwan Hospital Gurgaon', 'Umkal Hospital', 'Community Center Sukhrali', 'Neelkanth Medico', 'DT Cinemas', 'PVR Cinames', 'PVR Metropolitan', 'DT Cinemas', 'Swagath', 'distillery', 'Roots', 'KFC', 'Gravity Space Bar', 'Black Mambaa', 'Walking Street', 'Gung the palace Korean restaurant', 'Bikanervala', 'ADDA', 'Ardor 29', 'Park Baluchi', 'Gola Sizzles', 'The Oriental Bloom Chinese and Thai', 'MoB Ministory of Beer', 'Zura', 'Tocpao', 'Pan Bangkok', 'Spaghetti Kitchen & Bar', 'Pizza Hut', ""Domino's Pizza"", ""McDonald's"", ""Hops 'N' Brew"", 'Beer & Whisky Bar', 'Barbecue Grill', 'NutrioBox Gurugram', 'Management Development Institute', 'American Montessori', 'Grofers Supply Chain & CRM', 'Parishram Resources']","['2 Bed', '5 Fan', '1 Exhaust Fan', '11 Light', '4 AC', '2 TV', '1 Modular Kitchen', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Visitor Parking', 'Park', 'Internet/wi-fi connectivity', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting']",3
"  sector 7, gurgaon",3.3,sector 7,,house,160.0,4.0,3.0,"pooja room,study room,servant room","  sector 7, gurgaon",2.0,south-west,5 to 10 Year Old,"['HUDA Sector 23 Market', 'Palam triangle', 'Palam Vihar Vyapar kendra', 'Ram Mandir', ""DR KAPOOR'S Dental Care and Implant Centre"", 'Metro Hospital and Heart Institute Gurgaon', 'Kalyan Hospital Gurgaon', 'SP Infocity', 'HUDA sector 23 parking', 'Ansals Plaza above ground car parking', 'Ansals plaza underground car parking', 'Big Cinemas', 'Axis bank', 'Punjab national bank', 'Oriental bank of commerce', 'Om Sweets', ""Domino's Pizza"", 'Pizza Hut', 'Cafe Coffee Day', 'Pind Baluchi', 'Moti Mahal', ""McDonald's"", 'Masti ki Pathshala Teach India', 'Swiss Cottage school', 'Chiranjiv Bharati School', 'THE NORTHCAP UNIVERSITY', 'Palam vihar railway station', 'Bijwasan railway station']","['3 Fan', '6 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['False Ceiling Lighting', 'Water Storage', 'Park', 'Piped-gas', 'Visitor Parking']",2
  ramprastha primera,1.54,sector 37,8555.56,flat,1800.0,3.0,3.0,not available,"Ramprastha Primera Sector 37D, Gurgaon",5.0,east,1 to 5 Year Old,"['JMS Marine Square Mall', 'HUDA Market', 'Dwarka Expressway', 'Delhi Jaipur Expressway', 'Blue Bells Public School', 'SGT University', 'Medanta The Medicity', 'Indira Gandhi International Airport', 'infinity Business Park', 'Holiday Inn Gurugram Sector 90']","['Centrally Air Conditioned', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",,
"  dlf city phase 1, sector 26, gurgaon",4.8,sector 26,,house,150.0,6.0,6.0,"pooja room,study room,servant room,others","  dlf city phase 1, sector 26, gurgaon",3.0,north-east,10+ Year Old,"['Phase 1', 'MGF Megacity Mall', 'NH148A', 'Shiv Nadar School', 'IILM University', 'Paras Hospitals', 'Indira Gandhi International Airport', 'Gurgaon', 'AltF Global Business Park', 'Le Méridien', 'Appu Ghar', 'DLF Golf and Country Club', 'Tau Devi Lal Athletic Stadium']","['1 Water Purifier', '1 Fridge', '1 Fan', '1 Exhaust Fan', '1 Dining Table', '1 Geyser', '1 Stove', '1 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '1 TV', '1 AC', '1 Bed', '1 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",3+
"  sector 70a, gurgaon",1.4,sector 70,,house,180.0,3.0,3.0,not available,"  sector 70a, gurgaon",2.0,east,1 to 5 Year Old,"['Sri Radhe Krishna Temple', 'Sai Dharamraj Hospital', 'Ekta Hospital', 'Sai Heart and Trauma Center', 'Sona Devi Memorial Hospital and Trauma Centre', 'Gobind Hospital', 'Sanjeevani Hospital Gurgaon', 'Kamal Hospital and Maternity Centre', 'Kore Tech Park', 'SPAZE BUSINESS PARK', 'Union bank of india', 'Central bank of india', 'State bank of india', 'Icici bank']","['3 Wardrobe', '3 Fan', '1 Exhaust Fan', '4 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal']",2
"  a block sushant lok phase 1, gurgaon",25.0,sector 43,,house,813.0,11.0,10.0,"pooja room,store room,study room,servant room","  a block sushant lok phase 1, gurgaon",4.0,north,5 to 10 Year Old,"['Iffco chowk metro station', 'Mg road metro station', 'Gurgaon Central Mall', 'MGF Metropolitan', 'Icici bank ATM', 'Standard chartered ATM', 'Kotak mahindra bank ATM', 'Punjab national bank ATM', 'Umkal Hospital', 'Sitaram Bhartia', 'Sidhesh Hospital Gurgaon', 'Max Hospital', 'Privat Hospital', 'Dr. Kutbuddin Akbary', 'Axis bank', 'Indusind bank', 'Abn amro bank', 'Lord krishna bank', 'DT Cinemas', 'PVR Metropolitan', 'DT Cinemas', 'PVR Cinames', 'Pizza Hut', 'Barbecue Grill', 'CCD', 'Drunken Monkey', 'Belgian Waffle', 'Roots', 'Starbucks', 'Naveidyam', 'Blue Tokai Coffee Roasters', 'Dighent cafe', 'Fat', 'Nowhere Brewpub and cafe', 'The Chicken Boat', 'MoB Ministory of Beer', 'Park Baluchi', 'NutrioBox Gurugram', 'Pan Bangkok', 'Bikanervala', 'Beer & Whisky Bar', 'Balaji Vegetarian Paradise', 'Gravity Space Bar', 'Black Mambaa', 'KFC', 'Gola Sizzles', 'The Oriental Bloom Chinese and Thai', 'Zura', 'Bahrisons library', 'Ncr library']","['1 Water Purifier', '16 Fan', '1 Exhaust Fan', '12 Geyser', '1 Stove', '26 Light', '1 Modular Kitchen', '1 Curtains', '1 Chimney', '15 AC', '12 Wardrobe', '1 Microwave', 'No Bed', 'No Dining Table', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine']","['Centrally Air Conditioned', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Fitness Centre / GYM', 'Club house / Community Center']",3+
"  dlf phase 2, gurgaon",14.95,sector 25,,house,500.0,6.0,7.0,"pooja room,store room,study room,servant room","  dlf phase 2, gurgaon",3.0,north-east,5 to 10 Year Old,"['Vodafone belvedere towers metro station', 'Dlf phase 2 metro station', 'Dlf phase 3 metro station', 'Indusind bank cyber city metro station', 'Sikandarpur metro station', 'Shri Shiv Shakthi Mandir', 'Jain Bhawan', 'Arya Samaj Mandir', 'Central bank atm teste 001112', 'Central bank ATM', 'Kotak mahindra ATM', 'Citibank ATM', 'Abn amro bank ATM', 'Axis bank ATM', 'Surgi Center Clinic', 'Kailash Nursing Home Gurgaon', 'RBS Dental Clinic', 'Cosmodentz Dental Clinic', 'Uma Sanjeevani Health Centre And Hospital', 'Relief Physiotherapy Clinic', 'Darpan Skin & Mind Clinic', 'Durga Poly Clinic', 'Krishna Family Clinic', 'Guardian', '98.4', 'Religare Wellness', 'Shri Balaji Medical Store', 'DLF Cyber City Phase II', 'Emaar Business Park', 'Standard chartered bank', 'Icici bank', 'Deutsche bank', 'Hsbc bank', 'Kotak mahindra bank', 'Axis bank', 'PVR Cinames', 'Mukesh Dhaba', 'Mc Donalds', ""McDonald's"", 'Food Court', 'The God Father', 'Cantine', 'barrique', 'American Montessori', 'CEVA Logistics India', 'Microsoft', 'Boston Consulting Group', 'KPMG', 'Bain & Company', 'Taikisha Engineering PVT']","['12 Fan', '1 Exhaust Fan', '8 Geyser', '1 Stove', '18 Light', '7 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '6 Wardrobe', '1 Microwave', 'No Bed', 'No Dining Table', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water purifier', 'Centrally Air Conditioned', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",3+
"  block c, palam vihar, gurgaon",3.99,sector 1,,house,173.0,6.0,6.0,store room,"  block c, palam vihar, gurgaon",3.0,south,1 to 5 Year Old,"['Palam Vihar Vyapar kendra', 'Palam triangle', 'HUDA Sector 23 Market', 'Ram Mandir', 'Metro Hospital and Heart Institute Gurgaon', ""DR KAPOOR'S Dental Care and Implant Centre"", 'Kalyan Hospital Gurgaon', 'Ansals plaza underground car parking', 'Ansals Plaza above ground car parking', 'HUDA sector 23 parking', 'Axis bank', 'Punjab national bank', 'Oriental bank of commerce', 'Big Cinemas', 'Cafe Coffee Day', 'Pizza Hut', ""Domino's Pizza"", 'Moti Mahal', 'Pind Baluchi', ""McDonald's"", 'Om Sweets', 'Chiranjiv Bharati School', 'Masti ki Pathshala Teach India', 'Swiss Cottage school', 'THE NORTHCAP UNIVERSITY', 'Palam vihar railway station']","['2 Bed', '4 Wardrobe', '8 Fan', '1 Exhaust Fan', '4 Geyser', '40 Light', '1 Curtains', '1 Chimney', 'No AC', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Fitness Centre / GYM', 'Club house / Community Center']",2
  ats marigold,2.13,sector 89,12171.43,flat,1750.0,3.0,3.0,store room,"ATS Marigold Sector 89 A, Gurgaon",5.0,west,0 to 1 Year Old,"['Reliance Trends Newtown Square Mall', 'Dwarka Expressway', 'RPS International School', 'Royal Institute Of Science & Mgmt', 'SGT University', 'Aarvy Hospital', 'Chhatrapati Shivaji Maharaj Int. Airport', 'Garhi Harsaru Junction', 'Skyview Corporate Park', 'Holiday Inn Gurugram Sector 90', 'Manesar Golf Course', 'Nakhrola Stadium']","['1 Exhaust Fan', '1 Modular Kitchen', '5 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",
